date,quarter,team,smv,over_time,incentive,no_of_workers,actual_productivity,targeted_productivity
2015-01-01,Quarter1,8,26.16,2.0,1.6610169491525424,59.0,0.940725424,0.8
2015-01-01,Quarter1,11,11.41,2.0,1.639344262295082,30.5,0.800570492,0.8
2015-01-01,Quarter1,12,11.41,2.0,1.639344262295082,30.5,0.800570492,0.8
2015-01-01,Quarter1,6,25.9,0.5714285714285714,0.8928571428571429,56.0,0.800381944,0.8
2015-01-01,Quarter1,7,25.9,2.0,0.6785714285714286,56.0,0.800125,0.8
2015-01-01,Quarter1,3,28.08,2.0,0.782608695652174,57.5,0.753683478,0.75
2015-01-01,Quarter1,2,19.87,1.8181818181818181,0.6181818181818182,55.0,0.753097531,0.75
2015-01-01,Quarter1,1,28.08,2.0,0.782608695652174,57.5,0.750427826,0.75
2015-01-01,Quarter1,9,28.08,2.0,0.7652173913043478,57.5,0.721126957,0.7
2015-01-01,Quarter1,10,19.31,2.0,0.8333333333333334,54.0,0.712205247,0.75
2015-01-01,Quarter1,5,11.41,2.0,1.639344262295082,30.5,0.707045902,0.8
2015-01-01,Quarter1,4,23.69,2.0,0.0,60.0,0.52118,0.65
2015-01-03,Quarter1,1,28.08,1.8584070796460177,0.8849557522123894,56.5,0.800725314,0.8
2015-01-03,Quarter1,3,28.08,2.0,0.9174311926605505,54.5,0.800322936,0.8
2015-01-03,Quarter1,8,26.16,2.0,0.847457627118644,59.0,0.800318644,0.8
2015-01-03,Quarter1,12,26.16,2.0,1.0677966101694916,59.0,0.800318644,0.8
2015-01-03,Quarter1,11,11.61,4.0,1.694915254237288,29.5,0.800237288,0.8
2015-01-03,Quarter1,5,11.61,3.746031746031746,1.5873015873015872,31.5,0.800148649,0.8
2015-01-03,Quarter1,6,25.9,2.0,0.8928571428571429,56.0,0.800125,0.8
2015-01-03,Quarter1,7,25.9,2.0,0.6785714285714286,56.0,0.800125,0.8
2015-01-03,Quarter1,10,19.31,2.0,1.037037037037037,54.0,0.787299691,0.75
2015-01-03,Quarter1,2,19.87,2.0,0.8181818181818182,55.0,0.75024303,0.75
2015-01-03,Quarter1,4,23.69,3.8333333333333335,0.0,60.0,0.700134038,0.7
2015-01-03,Quarter1,9,28.08,2.0,0.6956521739130435,57.5,0.699965217,0.7
2015-01-04,Quarter1,6,11.61,3.75,1.6129032258064515,31.0,0.879714482,0.8
2015-01-04,Quarter1,9,26.16,2.0,1.0169491525423728,59.0,0.850569492,0.8
2015-01-04,Quarter1,7,25.9,2.0707964601769913,1.0619469026548674,56.5,0.850436438,0.8
2015-01-04,Quarter1,8,25.9,2.0,0.7964601769911505,56.5,0.850345133,0.8
2015-01-04,Quarter1,4,28.08,1.2792792792792793,0.9009009009009009,55.5,0.800598058,0.8
2015-01-04,Quarter1,1,26.16,2.0,1.0677966101694916,59.0,0.800318644,0.8
2015-01-04,Quarter1,2,28.08,2.0,0.9009009009009009,55.5,0.800237838,0.8
2015-01-04,Quarter1,12,11.61,3.75,1.6129032258064515,31.0,0.800030199,0.8
2015-01-04,Quarter1,11,19.31,2.0,0.8333333333333334,54.0,0.750348457,0.75
2015-01-04,Quarter1,3,19.87,2.0,0.8181818181818182,55.0,0.75024303,0.75
2015-01-04,Quarter1,10,28.08,2.0,0.6956521739130435,57.5,0.699965217,0.7
2015-01-04,Quarter1,5,45.67,2.0,0.4482758620689655,58.0,0.603432184,0.7
2015-01-05,Quarter1,9,26.16,2.0,1.271186440677966,59.0,0.850569492,0.8
2015-01-05,Quarter1,7,25.9,2.0,0.8849557522123894,56.5,0.800684366,0.8
2015-01-05,Quarter1,8,25.9,2.0,0.672566371681416,56.5,0.800684366,0.8
2015-01-05,Quarter1,1,26.16,2.0,1.0677966101694916,59.0,0.800318644,0.8
2015-01-05,Quarter1,11,19.31,1.4545454545454546,0.9090909090909091,55.0,0.800250962,0.8
2015-01-05,Quarter1,6,11.61,3.75,1.5625,32.0,0.800246011,0.8
2015-01-05,Quarter1,12,11.61,3.75,1.5625,32.0,0.800246011,0.8
2015-01-05,Quarter1,2,28.08,2.0,0.8695652173913043,57.5,0.800076522,0.8
2015-01-05,Quarter1,4,28.08,2.0,0.8695652173913043,57.5,0.800076522,0.8
2015-01-05,Quarter1,10,28.08,2.0,0.7692307692307693,58.5,0.7504,0.75
2015-01-05,Quarter1,3,19.87,2.0,0.8181818181818182,55.0,0.75024303,0.75
2015-01-05,Quarter1,5,21.98,2.0,0.39655172413793105,58.0,0.600028736,0.6
2015-01-06,Quarter1,1,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-06,Quarter1,9,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-06,Quarter1,2,28.08,3.0,0.8695652173913043,57.5,0.800594466,0.8
2015-01-06,Quarter1,4,28.08,3.0,0.8695652173913043,57.5,0.800594466,0.8
2015-01-06,Quarter1,3,19.87,3.0,0.9090909090909091,55.0,0.800273829,0.8
2015-01-06,Quarter1,12,11.61,2.8095238095238093,1.5873015873015872,31.5,0.800140969,0.8
2015-01-06,Quarter1,7,25.9,3.0,0.672566371681416,56.5,0.800128721,0.8
2015-01-06,Quarter1,8,25.9,3.0,0.672566371681416,56.5,0.800128721,0.8
2015-01-06,Quarter1,6,11.61,2.365079365079365,1.2063492063492063,31.5,0.80007657,0.8
2015-01-06,Quarter1,10,28.08,3.0,0.7692307692307693,58.5,0.750545455,0.75
2015-01-06,Quarter1,11,19.31,3.0,0.8181818181818182,55.0,0.750057851,0.75
2015-01-06,Quarter1,5,21.98,3.0,0.603448275862069,58.0,0.649983281,0.65
2015-01-07,Quarter1,1,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-07,Quarter1,9,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-07,Quarter1,8,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-07,Quarter1,2,28.08,3.0,1.0956521739130434,57.5,0.800594466,0.8
2015-01-07,Quarter1,4,28.08,3.0,0.8695652173913043,57.5,0.800594466,0.8
2015-01-07,Quarter1,6,11.41,3.0,1.639344262295082,30.5,0.800343766,0.8
2015-01-07,Quarter1,3,19.87,3.0,0.9090909090909091,55.0,0.800273829,0.8
2015-01-07,Quarter1,12,11.61,3.0,1.5873015873015872,31.5,0.800246753,0.8
2015-01-07,Quarter1,7,25.9,3.0,0.8849557522123894,56.5,0.800128721,0.8
2015-01-07,Quarter1,10,28.08,3.0,1.1794871794871795,58.5,0.8,0.75
2015-01-07,Quarter1,5,21.98,2.793103448275862,0.6896551724137931,58.0,0.700480831,0.7
2015-01-07,Quarter1,11,31.83,3.0,0.7272727272727273,55.0,0.412119835,0.8
2015-01-08,Quarter2,9,26.16,3.0,1.4915254237288136,59.0,0.900215716,0.8
2015-01-08,Quarter2,1,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-08,Quarter2,4,28.08,3.0,1.2820512820512822,58.5,0.850181818,0.8
2015-01-08,Quarter2,7,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-08,Quarter2,8,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-08,Quarter2,2,28.08,2.8632478632478633,1.0769230769230769,58.5,0.800497246,0.8
2015-01-08,Quarter2,3,19.87,3.0,0.9090909090909091,55.0,0.800273829,0.8
2015-01-08,Quarter2,12,11.61,8.0,2.0,31.5,0.800107143,0.8
2015-01-08,Quarter2,6,11.41,8.0,1.639344262295082,30.5,0.800024932,0.8
2015-01-08,Quarter2,10,28.08,3.0,1.1794871794871795,58.5,0.8,0.75
2015-01-08,Quarter2,11,12.52,8.0,0.7037037037037037,54.0,0.349951389,0.35
2015-01-08,Quarter2,5,42.41,3.0,0.0,57.0,0.233705476,0.7
2015-01-10,Quarter2,9,26.16,3.0,1.271186440677966,59.0,0.851174114,0.8
2015-01-10,Quarter2,7,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-10,Quarter2,8,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-10,Quarter2,4,28.08,3.0,1.0862068965517242,58.0,0.801028213,0.8
2015-01-10,Quarter2,2,28.08,3.0,1.0956521739130434,57.5,0.800594466,0.8
2015-01-10,Quarter2,12,11.61,2.492063492063492,1.5873015873015872,31.5,0.800346445,0.8
2015-01-10,Quarter2,6,11.41,3.0,1.639344262295082,30.5,0.800343766,0.8
2015-01-10,Quarter2,1,26.16,3.0,1.0677966101694916,59.0,0.800117103,0.8
2015-01-10,Quarter2,10,28.08,3.0,1.0769230769230769,58.5,0.8,0.8
2015-01-10,Quarter2,3,19.87,2.107142857142857,0.8035714285714286,56.0,0.750098351,0.75
2015-01-10,Quarter2,11,12.52,3.0,0.7169811320754716,53.0,0.673245283,0.5
2015-01-10,Quarter2,5,20.79,2.2857142857142856,0.0,56.0,0.388007813,0.5
2015-01-11,Quarter2,9,26.16,3.0,1.4915254237288136,59.0,0.900215716,0.8
2015-01-11,Quarter2,1,26.16,3.0,1.271186440677966,59.0,0.850502311,0.8
2015-01-11,Quarter2,7,25.9,3.0,0.7964601769911505,56.5,0.850136766,0.8
2015-01-11,Quarter2,8,25.9,3.0,1.0619469026548674,56.5,0.850136766,0.8
2015-01-11,Quarter2,6,11.41,3.0,1.639344262295082,30.5,0.800343766,0.8
2015-01-11,Quarter2,12,11.61,3.0,1.5873015873015872,31.5,0.800246753,0.8
